,gasrig_count,gas_price,gaswell_count,gasimports_amount,gasconsumption_amount
2017-01-03,140.6451612903226,3.41,1471.0,289.2650967741936,2877.8202903225806
2017-01-04,140.96774193548387,3.42,1471.0,288.06964516129034,2859.311935483871
2017-01-05,141.29032258064515,3.42,1471.0,286.8741935483871,2840.803580645161
2017-01-06,141.61290322580646,3.38,1471.0,285.67874193548386,2822.2952258064515
2017-01-07,141.93548387096774,3.3,1471.0,284.4832903225807,2803.786870967742
2017-01-08,142.25806451612902,3.22,1471.0,283.28783870967743,2785.278516129032
2017-01-09,142.58064516129033,3.14,1471.0,282.0923870967742,2766.7701612903224
2017-01-10,142.90322580645162,3.21,1471.0,280.89693548387095,2748.2618064516128
2017-01-11,143.2258064516129,3.27,1471.0,279.70148387096776,2729.753451612903
2017-01-12,143.5483870967742,3.36,1471.0,278.5060322580645,2711.2450967741934
2017-01-13,143.8709677419355,3.36,1471.0,277.3105806451613,2692.7367419354837
2017-01-14,144.19354838709677,3.3625,1471.0,276.1151290322581,2674.228387096774
2017-01-15,144.51612903225805,3.365,1471.0,274.91967741935485,2655.7200322580647
2017-01-16,144.83870967741936,3.3675,1471.0,273.7242258064516,2637.2116774193546
2017-01-17,145.16129032258064,3.37,1471.0,272.5287741935484,2618.7033225806454
2017-01-18,145.48387096774192,3.26,1471.0,271.3333225806452,2600.194967741935
2017-01-19,145.80645161290323,3.25,1471.0,270.13787096774195,2581.686612903226
2017-01-20,146.1290322580645,3.23,1471.0,268.9424193548387,2563.1782580645163
2017-01-21,146.4516129032258,3.2066666666666666,1471.0,267.74696774193546,2544.6699032258066
2017-01-22,146.7741935483871,3.1833333333333336,1471.0,266.5515161290323,2526.161548387097
2017-01-23,147.09677419354838,3.16,1471.0,265.35606451612904,2507.653193548387
2017-01-24,147.41935483870967,3.16,1471.0,264.1606129032258,2489.1448387096775
2017-01-25,147.74193548387098,3.26,1471.0,262.9651612903226,2470.636483870968
2017-01-26,148.06451612903226,3.44,1471.0,261.76970967741937,2452.128129032258
2017-01-27,148.38709677419354,3.31,1471.0,260.57425806451613,2433.6197741935484
2017-01-28,148.70967741935485,3.2800000000000002,1471.0,259.3788064516129,2415.1114193548387
2017-01-29,149.03225806451613,3.25,1471.0,258.1833548387097,2396.603064516129
2017-01-30,149.3548387096774,3.22,1471.0,256.98790322580646,2378.0947096774194
2017-01-31,149.67741935483872,3.0,1471.0,255.79245161290322,2359.5863548387097
2017-02-01,150.0,3.15,1471.0,254.597,2341.078
2017-02-02,150.14285714285714,3.13,1471.0,255.52450000000002,2347.6203214285715
2017-02-03,150.28571428571428,3.13,1471.0,256.452,2354.1626428571426
2017-02-04,150.42857142857142,3.06,1471.0,257.3795,2360.704964285714
2017-02-05,150.57142857142858,2.9899999999999998,1471.0,258.307,2367.2472857142857
2017-02-06,150.71428571428572,2.92,1471.0,259.2345,2373.789607142857
2017-02-07,150.85714285714286,3.03,1471.0,260.16200000000003,2380.3319285714288
2017-02-08,151.0,3.05,1471.0,261.0895,2386.87425
